gene_name,sample_name,season,gene_family,aro_accession,drug_class,high_level_drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_gene_id,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
AAC(6')-Ib7,Influent_WWTP_1_24_24_MH1_S480,wet,AAC(6'),ARO:3002578,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,ARO:3002578|ID:2117|Name:AAC(6')-Ib7|NCBI:KR091911.1,8.91,0.53,,15919570,0.4,0.04
ANT(3'')-II-AAC(6')-IId bifunctional protein,Influent_WWTP_1_24_24_MH1_S480,wet,aminoglycoside bifunctional resistance protein,ARO:3002598,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,164,ARO:3002598|ID:339|Name:ANT(3'')-II-AAC(6')-IId_bifunctional_protein|NCBI:AF453998.2,12.21,8.9,Klebsiella pneumoniae (chromosome or plasmid): 1; Klebsiella aerogenes (chromosome or plasmid): 1; ,15919570,10.93,0.59
ANT(6)-Ia,Influent_WWTP_1_24_24_MH1_S480,wet,ANT(6),ARO:3002626,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,193,ARO:3002626|ID:914|Name:ANT(6)-Ia|NCBI:KF648874.1,15.39,29.71,,15919570,12.87,1.98
AxyY,Influent_WWTP_1_24_24_MH1_S480,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004144,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,220,ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1,15.3,1.94,,15919570,14.67,0.13
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,Influent_WWTP_1_24_24_MH1_S480,wet,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),ARO:3004480,rifamycin antibiotic,rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,1,Nudged,8.0034,98.95,Bifidobacterium (chromosome),568,ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1,20.5,12.72,Bifidobacterium dentium (chromosome): 144; ,15919570,37.87,0.85
Bifidobacterium bifidum ileS conferring resistance to mupirocin,Influent_WWTP_1_24_24_MH1_S480,wet,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),ARO:3003730,mupirocin-like antibiotic,mupirocin-like antibiotic,antibiotic target alteration,protein homolog,0,,,,,81,ARO:3003730|ID:2278|Name:Bifidobacterium_bifidum_ileS_conferring_resistance_to_mupirocin|NCBI:CP001840.1,4.54,3.68,,15919570,5.4,0.25
ErmU,Influent_WWTP_1_24_24_MH1_S480,wet,Erm 23S ribosomal RNA methyltransferase,ARO:3001305,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,antibiotic target alteration,protein homolog,1,Nudged,2.8674,100,,,,,,,15919570,0,0
ErmX,Influent_WWTP_1_24_24_MH1_S480,wet,Erm 23S ribosomal RNA methyltransferase,ARO:3000596,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,antibiotic target alteration,protein homolog,0,,,,,2,ARO:3000596|ID:950|Name:ErmX|NCBI:M36726.1,4.91,0.1,,15919570,0.13,0.01
FRI-9,Influent_WWTP_1_24_24_MH1_S480,wet,FRI beta-lactamase,ARO:3005032,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.0339,100,,,,,,,15919570,0,0
IND-15,Influent_WWTP_1_24_24_MH1_S480,wet,IND beta-lactamase,ARO:3002270,carbapenem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,3.6885,100,,,,,,,15919570,0,0
MexF,Influent_WWTP_1_24_24_MH1_S480,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000804,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,diaminopyrimidine antibiotic; fluoroquinolone antibiotic; phenicol antibiotic,antibiotic efflux,protein homolog,0,,,,,215,ARO:3000804|ID:1300|Name:MexF|NCBI:AE004091.2,18.41,5.21,,15919570,14.33,0.35
QnrS6,Influent_WWTP_1_24_24_MH1_S480,wet,quinolone resistance protein (qnr),ARO:3002795,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic target protection,protein homolog,0,,,,,13,ARO:3002795|ID:60|Name:QnrS6|NCBI:HQ631376.1,34.25,2.05,,15919570,0.87,0.14
TMB-2,Influent_WWTP_1_24_24_MH1_S480,wet,TMB beta-lactamase,ARO:3004106,carbapenem; cephalosporin; cephamycin,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.8455,100,,,,,,,15919570,0,0
TxR,Influent_WWTP_1_24_24_MH1_S480,wet,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3005008,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Nudged,2.5078,100,,,,,,,15919570,0,0
aadA6,Influent_WWTP_1_24_24_MH1_S480,wet,ANT(3''),ARO:3002606,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,37,ARO:3002606|ID:2009|Name:aadA6|NCBI:AM087411.1,4.85,1.79,,15919570,2.47,0.12
ceoB,Influent_WWTP_1_24_24_MH1_S480,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003010,fluoroquinolone antibiotic; aminoglycoside antibiotic,fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,48,ARO:3003010|ID:1252|Name:ceoB|NCBI:U97042.1,9.7,1.18,,15919570,3.2,0.08
cmlA9,Influent_WWTP_1_24_24_MH1_S480,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3005043,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,2,Nudged,79.5062,99.72,Unknown taxonomy (chromosome or plasmid),3175,ARO:3005043|ID:3786|Name:cmlA9|NCBI:AY963803.6,94.73,363.09,Klebsiella pneumoniae (chromosome or plasmid): 2; ,15919570,211.69,24.21
dfrB4,Influent_WWTP_1_24_24_MH1_S480,wet,trimethoprim resistant dihydrofolate reductase dfr,ARO:3004498,diaminopyrimidine antibiotic,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,1,ARO:3004498|ID:3076|Name:dfrB4|NCBI:EU339233.1,8.86,0.09,,15919570,0.07,0.01
mphE,Influent_WWTP_1_24_24_MH1_S480,wet,macrolide phosphotransferase (MPH),ARO:3003741,macrolide antibiotic,macrolide antibiotic,antibiotic inactivation,protein homolog,1,Nudged,42.3729,99.2,Unknown taxonomy (chromosome or plasmid),1077,ARO:3003741|ID:2614|Name:mphE|NCBI:DQ839391.1,63.05,145.68,Klebsiella pneumoniae (chromosome or plasmid): 1; Acinetobacter baumannii (chromosome or plasmid): 1; ,15919570,71.81,9.71
msrE,Influent_WWTP_1_24_24_MH1_S480,wet,msr-type ABC-F protein,ARO:3003109,macrolide antibiotic; streptogramin antibiotic,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,3,Nudged,53.6585,99.61,Unknown taxonomy (chromosome or plasmid),839,ARO:3003109|ID:33|Name:msrE|NCBI:EU294228.1,78.18,84.55,Enterobacter hormaechei (chromosome or plasmid): 1; Klebsiella quasipneumoniae (chromosome or plasmid): 1; ,15919570,55.94,5.64
oqxB,Influent_WWTP_1_24_24_MH1_S480,wet,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003923,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,diaminopyrimidine antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; nitrofuran antibiotic,antibiotic efflux,protein homolog,1,Nudged,2.6641,96.43,,,,,,,15919570,0,0
qacL,Influent_WWTP_1_24_24_MH1_S480,wet,small multidrug resistance (SMR) antibiotic efflux pump,ARO:3005098,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Nudged,64.8649,100,Pseudomonas aeruginosa (chromosome or plasmid),431,ARO:3005098|ID:3830|Name:qacL|NCBI:DQ149925.1,66.37,155.9,Pseudomonas aeruginosa (chromosome or plasmid): 99; Pseudomonas aeruginosa (plasmid): 139; ,15919570,28.74,10.39
rpoB2,Influent_WWTP_1_24_24_MH1_S480,wet,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),ARO:3000501,rifamycin antibiotic,rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,241,ARO:3000501|ID:2831|Name:rpoB2|NCBI:AP006618.1,9.77,2.99,,15919570,16.07,0.2
sul2,Influent_WWTP_1_24_24_MH1_S480,wet,sulfonamide resistant sul,ARO:3000412,sulfonamide antibiotic,sulfonamide antibiotic,antibiotic target replacement,protein homolog,1,Perfect,99.6324,100,Unknown taxonomy (chromosome or plasmid),2078,ARO:3000412|ID:952|Name:sul2|NCBI:AY055428.1,100,356.48,Acinetobacter baumannii (chromosome or plasmid): 38; Escherichia coli (chromosome or plasmid): 12; Histophilus somni (chromosome or plasmid): 4; Pseudomonas aeruginosa (chromosome or plasmid): 2; Enterobacter hormaechei (chromosome or plasmid): 2; Acinetobacter indicus (chromosome or plasmid): 1; Vibrio cholerae (chromosome or plasmid): 1; Salmonella enterica (chromosome or plasmid): 1; Proteus mirabilis (chromosome or plasmid): 1; Vibrio alginolyticus (chromosome or plasmid): 1; Vibrio parahaemolyticus (chromosome or plasmid): 1; Klebsiella quasipneumoniae (chromosome or plasmid): 1; Acinetobacter baumannii (plasmid): 70; Vibrio parahaemolyticus (plasmid): 1; ,15919570,138.55,23.77
tet(39),Influent_WWTP_1_24_24_MH1_S480,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000566,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,3,Nudged,85.8586,100,Unknown taxonomy (plasmid),2886,ARO:3000566|ID:1092|Name:tet(39)|NCBI:AY743590.1,98.32,330.1,Acinetobacter baumannii (plasmid): 2; ,15919570,192.42,22.01
tet(D),Influent_WWTP_1_24_24_MH1_S480,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000168,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,76.7089,54.9,Unknown taxonomy (chromosome or plasmid),,,,,,15919570,0,0
tet(G),Influent_WWTP_1_24_24_MH1_S480,wet,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000174,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2426,ARO:3000174|ID:957|Name:tet(G)|NCBI:AF133139.1,96.77,306.18,Salmonella enterica (chromosome or plasmid): 3; Stenotrophomonas maltophilia (chromosome or plasmid): 2; Aeromonas caviae (chromosome or plasmid): 1; Pseudomonas aeruginosa (chromosome or plasmid): 1; Pseudomonas (chromosome or plasmid): 1; ,15919570,161.75,20.41
AAC(2')-IIa,Influent_WWTP_2_1_24_MH1_S340,wet,AAC(2'),ARO:3004628,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,3.0651,100,,,,,,,7704074,0,0
AAC(3)-IId,Influent_WWTP_2_1_24_MH1_S340,wet,AAC(3),ARO:3004623,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,2,Nudged,63.0662,100,Unknown taxonomy (chromosome or plasmid),8,ARO:3004623|ID:3322|Name:AAC(3)-IId|NCBI:EU022314.1,91.64,1.2,,7704074,3.21,0.48
AAC(3)-VIIIa,Influent_WWTP_2_1_24_MH1_S340,wet,AAC(3),ARO:3002542,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Nudged,2.439,100,,,,,,,7704074,0,0
